"Generate a 3-day travel itinerary from 2022-03-16 to 2022-03-18, for 1 person, traveling from St. Petersburg to Rockford with a budget of $1700.","{
    ""plan"": [
        {
            ""day"": 1,
            ""current_city"": ""from St. Petersburg to Rockford"",
            ""transportation"": ""Flight Number: F3573659, from St. Petersburg to Rockford, Departure Time: 15:40, Arrival Time: 17:04"",
            ""attraction"": ""Burpee Museum of Natural History, Rockford; Midway Village Museum, Rockford."",
            ""accommodation"": ""Spacious 3BDR Prime Location!, Rockford""
        },
        {
            ""day"": 2,
            ""current_city"": ""Rockford"",
            ""transportation"": ""-"",
            ""attraction"": ""Discovery Center Museum, Rockford; Tinker Swiss Cottage Museum and Gardens, Rockford; Anderson Japanese Gardens, Rockford."",
            ""accommodation"": ""Spacious 3BDR Prime Location!, Rockford""
        },
        {
            ""day"": 3,
            ""current_city"": ""from Rockford to St. Petersburg"",
            ""transportation"": ""Flight Number: F3573120, from Rockford to St. Petersburg, Departure Time: 19:00, Arrival Time: 22:43"",
            ""attraction"": ""-"",
            ""accommodation"": ""-""
        }
    ]
}"

"Generate a 3-day travel itinerary from 2022-03-03 to 2022-03-05, for 1 person, traveling from Las Vegas to Stockton with a budget of $1400.","{
    ""plan"": [
        {
            ""day"": 1,
            ""current_city"": ""From Las Vegas to Stockton"",
            ""transportation"": ""Flight Number: F3576711, from Las Vegas to Stockton, Departure Time: 06:01, Arrival Time: 07:28"",
            ""attraction"": ""Children's Museum, Stockton; Haggin Museum, Stockton"",
            ""accommodation"": ""Waterfront, perfect NYC getaway!, Stockton""
        },
        {
            ""day"": 2,
            ""current_city"": ""Stockton"",
            ""transportation"": ""-"",
            ""attraction"": ""Louis Park, Stockton; Stockton Water Tower, Stockton; Miracle Mile, Stockton; Buckley Cove Park, Stockton; Wat Dhammararam Buddhist Temple, Stockton; Joan Darrah Promenade, Stockton; Stockton Diamond Railroad Crossing, Stockton; American Legion Park, Stockton; Mexican Heritage Center & Gallery, Stockton; Visit Stockton, Stockton; Upper Stockton Diamond Railroad Crossing, Stockton; Stockton Field Aviation Museum, Stockton; Sousa Park, Stockton; Stockton Arena, Stockton; Shumway Oak Grove Regional Park, Stockton; Garrigan Park, Stockton; Gibbons Park, Stockton; Filipino American National Historical Society, Stockton"",
            ""accommodation"": ""Waterfront, perfect NYC getaway!, Stockton""
        },
        {
            ""day"": 3,
            ""current_city"": ""From Stockton to Las Vegas"",
            ""transportation"": ""Flight Number: F3576850, from Stockton to Las Vegas, Departure Time: 13:42, Arrival Time: 15:03"",
            ""attraction"": ""-"",
            ""accommodation"": ""-""
        }
    ]
}"

"Generate a 3-day travel itinerary from 2022-03-12 to 2022-03-14, for 1 person, traveling from Las Vegas to Denver with a budget of $1600.","{
    ""plan"": [
        {
            ""day"": 1,
            ""current_city"": ""from Las Vegas to Denver"",
            ""transportation"": ""Flight Number: F3877057, from Las Vegas to Denver, Departure Time: 05:52, Arrival Time: 08:35"",
            ""attraction"": ""Denver Zoo, Denver; Denver Botanic Gardens, Denver."",
            ""accommodation"": ""Harlem cozy nights, Denver""
        },
        {
            ""day"": 2,
            ""current_city"": ""Denver"",
            ""transportation"": ""-"",
            ""attraction"": ""Denver Art Museum, Denver; Denver Museum of Nature & Science, Denver."",
            ""accommodation"": ""Harlem cozy nights, Denver""
        },
        {
            ""day"": 3,
            ""current_city"": ""from Denver to Las Vegas"",
            ""transportation"": ""Flight Number: F3977668, from Denver to Las Vegas, Departure Time: 08:44, Arrival Time: 09:37"",
            ""attraction"": ""-"",
            ""accommodation"": ""-""
        }
    ]
}"

"Generate a 3-day travel itinerary from 2022-03-14 to 2022-03-16, for 2 people, traveling from Sacramento to Atlanta with a budget of $4700. Accommodation must allow parties.","{
    ""plan"": [
        {
            ""day"": 1,
            ""current_city"": ""from Sacramento to Atlanta"",
            ""transportation"": ""Flight Number: F3510904, from Sacramento to Atlanta, Departure Time: 06:55, Arrival Time: 14:09"",
            ""attraction"": ""Atlanta Botanical Garden, Atlanta; World of Coca-Cola, Atlanta."",
            ""accommodation"": ""Charming Carroll Gardens 2 BR, Atlanta""
        },
        {
            ""day"": 2,
            ""current_city"": ""Atlanta"",
            ""transportation"": ""-"",
            ""attraction"": ""Georgia Aquarium, Atlanta; Martin Luther King, Jr. National Historical Park, Atlanta."",
            ""accommodation"": ""Charming Carroll Gardens 2 BR, Atlanta""
        },
        {
            ""day"": 3,
            ""current_city"": ""from Atlanta to Sacramento"",
            ""transportation"": ""Flight Number: F3527027, from Atlanta to Sacramento, Departure Time: 08:56, Arrival Time: 10:42"",
            ""attraction"": ""-"",
            ""accommodation"": ""-""
        }
    ]
}"

"Generate a 3-day travel itinerary from 2022-03-20 to 2022-03-22, for 2 people, traveling from Houston to Fayetteville with a budget of $1500. Accommodation must allow children.","{
    ""plan"": [
        {
            ""day"": 1,
            ""current_city"": ""from Houston to Fayetteville"",
            ""transportation"": ""Flight Number: F3923211, from Houston to Fayetteville, Departure Time: 14:30, Arrival Time: 16:17"",
            ""attraction"": ""The Fayetteville Area Transportation and Local History Museum, Fayetteville; Museum of the Cape Fear, Fayetteville."",
            ""accommodation"": ""*CoZy Private Williamsburg Home*, Fayetteville""
        },
        {
            ""day"": 2,
            ""current_city"": ""Fayetteville"",
            ""transportation"": ""-"",
            ""attraction"": ""Lake Rim Park, Fayetteville; Airborne & Special Operations Museum Foundation, Fayetteville."",
            ""accommodation"": ""*CoZy Private Williamsburg Home*, Fayetteville""
        },
        {
            ""day"": 3,
            ""current_city"": ""from Fayetteville to Houston"",
            ""transportation"": ""Flight Number: F3922249, from Fayetteville to Houston, Departure Time: 19:18, Arrival Time: 20:52"",
            ""attraction"": ""Fascinate-U Children's Museum, Fayetteville."",
            ""accommodation"": ""-""
        }
    ]
}"

